angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"(304, 50, 142, 142)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.02,,"(302, 51, 141, 141)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.01,,"(302, 53, 139, 139)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.01,,"(304, 59, 132, 132)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.03,,"(297, 50, 147, 147)",,0.0,,0.0,,0.96,,0.0,,0.0,,0.0,
0.02,,"(296, 52, 144, 144)",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.01,,"(297, 53, 143, 143)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"(297, 57, 138, 138)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.08,,"(293, 53, 142, 142)",,0.02,,0.01,,0.87,,0.0,,0.01,,0.0,
0.08,,"(292, 54, 141, 141)",,0.02,,0.01,,0.88,,0.0,,0.02,,0.0,
0.06,,"(292, 54, 140, 140)",,0.0,,0.01,,0.92,,0.0,,0.01,,0.0,
0.09,,"(291, 54, 141, 141)",,0.01,,0.01,,0.88,,0.0,,0.01,,0.0,
0.09,,"(289, 54, 142, 142)",,0.01,,0.01,,0.88,,0.0,,0.01,,0.0,
0.09,,"(289, 54, 141, 141)",,0.0,,0.0,,0.89,,0.0,,0.01,,0.0,
0.06,,"(288, 54, 142, 142)",,0.0,,0.0,,0.92,,0.0,,0.01,,0.0,
0.04,,"(289, 54, 140, 140)",,0.0,,0.0,,0.95,,0.0,,0.01,,0.0,
0.03,,"(289, 55, 138, 138)",,0.0,,0.0,,0.96,,0.0,,0.0,,0.0,
0.06,,"(290, 56, 136, 136)",,0.02,,0.01,,0.89,,0.0,,0.03,,0.0,
0.04,,"(299, 65, 122, 122)",,0.03,,0.03,,0.75,,0.01,,0.13,,0.0,
0.08,,"(295, 58, 133, 133)",,0.02,,0.05,,0.61,,0.02,,0.22,,0.0,
0.07,,"(295, 56, 135, 135)",,0.0,,0.02,,0.8,,0.02,,0.09,,0.0,
0.08,,"(297, 56, 133, 133)",,0.01,,0.02,,0.75,,0.05,,0.09,,0.0,
0.08,,"(298, 56, 133, 133)",,0.0,,0.02,,0.77,,0.03,,0.1,,0.0,
0.06,,"(298, 52, 138, 138)",,0.0,,0.05,,0.58,,0.04,,0.26,,0.0,
0.06,,"(298, 50, 139, 139)",,0.0,,0.03,,0.73,,0.04,,0.14,,0.01,
0.0,,"(294, 44, 145, 145)",,0.0,,0.0,,0.98,,0.01,,0.01,,0.0,
0.04,,"(295, 45, 143, 143)",,0.0,,0.01,,0.86,,0.03,,0.06,,0.0,
0.02,,"(300, 51, 135, 135)",,0.0,,0.01,,0.9,,0.04,,0.04,,0.0,
0.12,,"(299, 49, 137, 137)",,0.0,,0.02,,0.69,,0.04,,0.12,,0.0,
0.1,,"(299, 47, 141, 141)",,0.0,,0.02,,0.77,,0.02,,0.08,,0.0,
